,tweets_id,retweet_count,likes_count
0,892420643555336193,7009,33810
1,892177421306343426,5301,29331
2,891815181378084864,3481,22050
3,891689557279858688,7225,36937
4,891327558926688256,7760,35311
5,891087950875897856,2602,17811
6,890971913173991426,1663,10363
7,890729181411237888,15752,56864
8,890609185150312448,3620,24522
9,890240255349198849,6098,27959
10,890006608113172480,6153,27031
11,889880896479866881,4166,24566
12,889665388333682689,8349,42058
13,889638837579907072,3715,23672
14,889531135344209921,1881,13352
15,889278841981685760,4443,22116
16,888917238123831296,3761,25639
17,888804989199671297,3535,22463
18,888554962724278272,2877,17315
19,888078434458587136,2892,19150
20,887705289381826560,4533,26626
21,887517139158093824,9852,40720
22,887473957103951883,15025,60194
23,887343217045368832,8815,29589
24,887101392804085760,4990,26959
25,886983233522544640,6318,30382
26,886736880519319552,2631,10501
27,886680336477933568,3735,19735
28,886366144734445568,2629,18547
29,886267009285017600,4,105
30,886258384151887873,5289,24527
31,886054160059072513,93,0
32,885984800019947520,5611,28611
33,885528943205470208,5327,31602
34,885518971528720385,3106,18005
35,885311592912609280,15437,0
36,885167619883638784,3669,19255
37,884925521741709313,15024,67285
38,884876753390489601,4673,24387
39,884562892145688576,3910,21319
40,884441805382717440,4790,23868
41,884247878851493888,16918,63305
42,884162670584377345,2505,17945
43,883838122936631299,2861,19173
44,883482846933004288,8270,40214
45,883360690899218434,3080,19949
46,883117836046086144,5533,32517
47,882992080364220416,3247,20985
48,882762694511734784,4097,24798
49,882627270321602560,5062,24600
50,882268110199369728,9631,39196
51,882045870035918850,4082,25723
52,881906580714921986,2855,21444
53,881666595344535552,8960,44554
54,881633300179243008,8,113
55,881536004380872706,13401,43442
56,881268444196462592,4493,20479
57,880935762899988482,2333,15051
58,880872448815771648,3200,18715
59,880465832366813184,5213,25030
60,880221127280381952,3466,23673
61,880095782870896641,3653,24339
62,879862464715927552,2928,19703
63,879674319642796034,9,281
64,879492040517615616,2628,20708
65,879415818425184262,37455,92867
66,879376492567855104,2649,14860
67,879130579576475649,5739,0
68,879050749262655488,3956,19812
69,879008229531029506,2241,16781
70,878776093423087618,3432,17135
71,878604707211726852,5927,26443
72,878404777348136964,1075,0
73,878316110768087041,5527,0
74,878281511006478336,1077,6779
75,878057613040115712,5739,37150
76,877736472329191424,15806,69293
77,877611172832227328,70,0
78,877556246731214848,3168,19908
79,877316821321428993,4347,24154
80,877201837425926144,4629,23866
81,876838120628539392,2804,18212
82,876537666061221889,3974,21050
83,876484053909872640,2000,16567
84,876120275196170240,3903,24687
85,875747767867523072,3582,22111
86,875144289856114688,4156,19420
87,875097192612077568,5115,24241
88,875021211251597312,3972,22546
89,874680097055178752,3919,24602
90,874434818259525634,12214,0
91,874296783580663808,3482,22965
92,874057562936811520,3377,20117
93,874012996292530176,8592,30128
94,873580283840344065,3343,21381
95,873337748698140672,1331,0
96,873213775632977920,1331,6322
97,872967104147763200,4562,24078
98,872820683541237760,3167,13071
99,872620804844003328,3067,18328
100,872486979161796608,7719,36101
101,872122724285648897,6829,30235
102,871879754684805121,9248,33113
103,871762521631449091,2970,17889
104,871515927908634625,2941,17894
105,871166179821445120,4894,0
106,871102520638267392,4682,18551
107,871032628920680449,3225,20160
108,870804317367881728,5284,29803
109,870726314365509632,3,105
110,870656317836468226,2208,10888
111,870374049280663552,22753,73967
112,870308999962521604,3549,19482
113,870063196459192321,7075,32426
114,869772420881756160,8697,38017
115,869702957897576449,5386,25063
116,869596645499047938,2640,14207
117,869227993411051520,3201,18134
118,868880397819494401,12263,57990
119,868639477480148993,1753,0
120,868622495443632128,4473,23643
121,868552278524837888,1753,8972
122,867900495410671616,3572,21608
123,867774946302451713,6256,30277
124,867421006826221569,2116,14348
125,867072653475098625,101,0
126,867051520902168576,6788,28722
127,866720684873056260,4131,17875
128,866686824827068416,2972,17133
129,866450705531457537,30210,108907
130,866334964761202691,12214,46619
131,866094527597207552,7170,0
132,865718153858494464,4851,22934
133,865359393868664832,4292,23614
134,865006731092295680,6674,25047
135,864873206498414592,7499,28867
136,864279568663928832,2584,13074
137,864197398364647424,7588,26641
138,863907417377173506,3592,18445
139,863553081350529029,3634,13688
140,863471782782697472,2092,0
141,863432100342583297,4557,21320
142,863427515083354112,80,1961
143,863079547188785154,953,7898
144,863062471531167744,2092,7528
